database_code,domain_name,database_group,language_code,language_name,editability,status,visibility,english_name
barwiki,bar.wikipedia.org,wikipedia,bar,Bavarian,public,open,public,Bavarian Wikipedia
bat_smgwiki,bat-smg.wikipedia.org,wikipedia,bat-smg,Samogitian,public,open,public,Samogitian Wikipedia
bawiki,ba.wikipedia.org,wikipedia,ba,Bashkir,public,open,public,Bashkir Wikipedia
bawikibooks,ba.wikibooks.org,wikibooks,ba,Bashkir,public,open,public,Bashkir Wikibooks
bclwiki,bcl.wikipedia.org,wikipedia,bcl,Central Bikol,public,open,public,Bikol Central Wikipedia
bdwikimedia,bd.wikimedia.org,bdwikimedia,en,English,public,open,public,Wikimedia Bangladesh
be_x_oldwiki,be-tarask.wikipedia.org,wikipedia,be-x-old,Belarusian (Taraškievica orthography),public,open,public,Belarusian (Taraškievica) Wikipedia
betawikiversity,beta.wikiversity.org,betawikiversity,en,English,public,open,public,Wikiversity Beta
bewiki,be.wikipedia.org,wikipedia,be,Belarusian,public,open,public,Belarusian Wikipedia
bewikibooks,be.wikibooks.org,wikibooks,be,Belarusian,public,open,public,Belarusian Wikibooks
bewikimedia,be.wikimedia.org,bewikimedia,en,English,public,open,public,Wikimedia Belgium
bewikiquote,be.wikiquote.org,wikiquote,be,Belarusian,public,open,public,Belarusian Wikiquote
bewikisource,be.wikisource.org,wikisource,be,Belarusian,public,open,public,Belarusian Wikisource
bewiktionary,be.wiktionary.org,wiktionary,be,Belarusian,public,open,public,Belarusian Wiktionary
bgwiki,bg.wikipedia.org,wikipedia,bg,Bulgarian,public,open,public,Bulgarian Wikipedia
bgwikibooks,bg.wikibooks.org,wikibooks,bg,Bulgarian,public,open,public,Bulgarian Wikibooks
bgwikinews,bg.wikinews.org,wikinews,bg,Bulgarian,public,closed,public,Bulgarian Wikinews
bgwikiquote,bg.wikiquote.org,wikiquote,bg,Bulgarian,public,open,public,Bulgarian Wikiquote
bgwikisource,bg.wikisource.org,wikisource,bg,Bulgarian,public,open,public,Bulgarian Wikisource
bgwiktionary,bg.wiktionary.org,wiktionary,bg,Bulgarian,public,open,public,Bulgarian Wiktionary
bhwiki,bh.wikipedia.org,wikipedia,bh,Bhojpuri,public,open,public,Bhojpuri Wikipedia
bhwiktionary,bh.wiktionary.org,wiktionary,bh,Bhojpuri,public,closed,public,Bhojpuri Wiktionary
biwiki,bi.wikipedia.org,wikipedia,bi,Bislama,public,open,public,Bislama Wikipedia
biwikibooks,bi.wikibooks.org,wikibooks,bi,Bislama,public,closed,public,Bislama Wikibooks
biwiktionary,bi.wiktionary.org,wiktionary,bi,Bislama,public,closed,public,Bislama Wiktionary
bjnwiki,bjn.wikipedia.org,wikipedia,bjn,Banjar,public,open,public,Banjar Wikipedia
bmwiki,bm.wikipedia.org,wikipedia,bm,Bambara,public,open,public,Bambara Wikipedia
bmwikibooks,bm.wikibooks.org,wikibooks,bm,Bambara,public,closed,public,Bambara Wikibooks
bmwikiquote,bm.wikiquote.org,wikiquote,bm,Bambara,public,closed,public,Bambara Wikiquote
bmwiktionary,bm.wiktionary.org,wiktionary,bm,Bambara,public,closed,public,Bambara Wiktionary
bnwiki,bn.wikipedia.org,wikipedia,bn,Bangla,public,open,public,Bengali Wikipedia
bnwikibooks,bn.wikibooks.org,wikibooks,bn,Bangla,public,open,public,Bengali Wikibooks
